Date,Global_Excluded,Global_Confirmed,Global_Recovered,Global_Deaths,Khenifra_Excluded,khenifra_Confirmed,Khenifra_Recovered,Khenifra_Deaths,Beni_Mellal_Excluded,Beni_Mellal_Confirmed,Beni_Mellal_Recovered,Beni_Mellal_Deaths,Azilal_Excluded,Azilal_Confirmed,Azilal_Recovered,Azilal_Deaths,Fkih_Ben_Salah_Excluded,Fkih_Ben_Salah_Confirmed,Fkih_Ben_Salah_Recovered,Fkih_Ben_Salah_Deaths,khouribga_Excluded,khouribga_Confirmed,khouribga_Recovered,khouribga_Deaths
02/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,0
21/03/2020,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,0
22/03/2020,,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3,0,0
23/03/2020,,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3,0,0
24/03/2020,,4,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4,0,0
25/03/2020,,6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,6,0,0
26/03/2020,,7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,7,0,0
27/03/2020,,10,0,0,,0,0,0,,0,0,0,,0,0,0,,3,0,0,,7,0,0
28/03/2020,,10,0,0,,0,0,0,,0,0,0,,0,0,0,,3,,0,,7,0,0
29/03/2020,,12,0,0,,0,0,0,,1,0,0,,0,0,0,,4,0,0,,7,0,0
30/03/2020,,17,0,2,,0,0,0,,1,0,1,,0,0,0,,5,0,0,,11,0,1
31/03/2020,,18,0,2,,1,0,0,,1,0,1,,0,0,0,,5,0,0,,11,0,1
01/04/2020,,21,0,2,,1,0,0,,1,0,1,,1,0,0,,5,0,0,,13,0,1
02/04/2020,,23,0,2,,1,0,0,,3,0,1,,1,0,0,,5,0,0,,13,0,1
03/04/2020,,25,2,2,,1,0,0,,3,2,1,,1,0,0,,5,0,0,,15,0,1
04/04/2020,,26,2,2,,1,0,0,,3,2,1,,1,0,0,,5,0,0,,15,0,1
05/04/2020,,28,2,3,,1,0,0,,3,2,1,,2,0,0,,5,0,0,,15,0,2
06/04/2020,,33,2,3,,1,0,0,,3,2,1,,2,0,0,,5,0,0,,15,0,2
07/04/2020,,34,2,3,,1,0,0,,3,2,1,,7,0,0,,6,0,0,,17,0,2
08/04/2020,,40,2,3,,1,0,0,,3,2,1,,13,0,0,,6,0,0,,17,0,2
09/04/2020,,41,5,5,,1,0,0,,3,2,1,,14,0,0,,6,2,1,,17,1,3
10/04/2020,,42,5,5,,1,0,0,,3,2,1,,14,0,0,,6,2,1,,18,1,3
11/04/2020,,47,5,5,,1,0,0,,3,2,1,,14,0,0,,8,2,1,,20,1,3
12/04/2020,,48,5,5,,1,0,0,,3,2,1,,14,0,0,,8,2,1,,20,1,3
13/04/2020,,46,6,5,,1,1,0,,3,2,1,,15,0,0,,8,2,1,,20,1,3
14/04/2020,,49,6,5,,1,1,0,,3,2,1,,15,0,0,,8,2,1,,22,1,3
15/04/2020,,54,8,5,,1,1,0,,3,2,1,,18,0,0,,9,3,1,,23,2,3
16/04/2020,511,57,10,6,,1,1,0,,3,2,1,,19,0,0,,9,3,1,,25,2,3
17/04/2020,557,58,10,6,63,1,1,0,222,3,2,1,125,20,0,0,51,9,3,1,96,25,4,4
18/04/2020,600,58,10,6,71,1,1,0,232,3,2,1,139,20,0,0,62,9,3,1,96,25,4,4
19/04/2020,664,60,10,6,71,1,1,0,262,4,2,1,140,20,0,0,87,10,3,1,104,25,4,4
20/04/2020,681,61,11,6,74,1,1,0,262,4,2,1,142,21,1,0,91,10,3,1,112,25,4,4
21/04/2020,731,62,13,6,76,1,1,0,281,4,2,1,143,21,2,0,108,10,3,1,123,26,5,4
22/04/2020,757,66,13,6,76,1,1,0,289,5,2,1,143,21,2,0,126,13,3,1,123,26,5,4
23/04/2020,946,78,16,6,84,1,1,0,322,5,2,1,216,33,3,0,168,13,3,1,156,26,7,4
24/04/2020,1021,78,16,6,124,1,1,0,322,5,2,1,226,33,3,0,185,13,3,1,164,26,7,4
25/04/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
26/04/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
27/04/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
28/04/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
29/04/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
30/04/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
01/05/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
02/05/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
03/05/2020,1070,78,16,6,126,1,1,0,332,5,2,1,226,33,3,0,222,13,3,1,164,26,7,4
04/05/2020,1993,85,27,7,175,1,1,0,638,8,3,1,267,36,5,0,523,13,6,2,390,27,12,4
05/05/2020,2180,85,28,7,202,1,1,0,660,8,4,1,268,36,5,0,549,13,6,2,501,27,12,4
06/05/2020,2393,87,32,7,216,1,1,0,693,8,5,1,273,38,5,0,598,13,9,2,613,27,12,4
07/05/2020,2560,97,34,7,216,1,1,0,796,9,6,1,277,47,6,0,647,13,9,2,624,27,12,4
08/05/2020,2643,98,37,7,216,1,1,0,829,9,6,1,306,47,7,0,648,13,9,2,644,28,14,4
09/05/2020,2664,98,37,7,222,1,1,0,829,9,6,1,306,47,7,0,663,13,9,2,644,28,14,4
10/05/2020,3024,99,42,7,256,1,1,0,980,10,6,1,363,47,7,0,691,13,10,2,734,28,18,4
11/05/2020,3163,99,46,7,268,1,1,0,1049,10,6,1,379,47,9,0,727,13,10,2,740,28,20,4
12/05/2020,3228,99,52,7,280,1,1,0,1067,10,7,1,388,47,13,0,743,13,10,2,750,28,21,4
13/05/2020,3388,99,54,7,333,1,1,0,1113,10,8,1,388,47,13,0,798,13,10,2,756,28,22,4
14/05/2020,3590,99,61,7,359,1,1,0,1224,10,8,1,414,47,20,0,831,13,10,2,762,28,22,4
15/05/2020,3740,99,62,7,381,1,1,0,1351,10,9,1,414,47,20,0,832,13,10,2,762,28,22,4
16/05/2020,4300,102,63,7,443,1,1,0,1367,10,9,1,605,50,21,0,894,13,10,2,991,28,22,4
17/05/2020,4620,105,64,7,476,1,1,0,1394,10,9,1,633,50,21,0,962,16,11,2,1155,28,22,4
18/05/2020,4920,105,64,7,476,1,1,0,1394,10,9,1,634,50,21,0,962,16,11,2,1454,28,22,4
19/05/2020,5377,105,73,7,524,1,1,0,1503,10,9,1,636,50,30,0,1256,16,11,2,1458,28,22,4
20/05/2020,6154,106,74,7,524,1,1,0,1670,10,9,1,803,50,30,0,1476,16,11,2,1681,29,23,4
21/05/2020,6571,106,75,7,607,1,1,0,1670,10,9,1,963,50,30,0,1492,16,11,2,1839,29,24,4
22/05/2020,6755,106,88,7,607,1,1,0,1792,10,9,1,1025,50,43,0,1492,16,11,2,1839,29,24,4
23/05/2020,6922,106,92,7,612,1,1,0,1900,10,9,1,1025,50,47,0,1492,16,11,2,1893,29,24,4
24/05/2020,6888,106,92,7,612,1,1,0,1900,10,9,1,1045,50,47,0,1492,16,11,2,1839,29,24,4
25/05/2020,7206,106,95,7,613,1,1,0,2049,10,9,1,1162,50,47,0,1543,16,14,2,1839,29,24,4
26/05/2020,7873,106,95,7,711,1,1,0,2138,10,9,1,1353,50,47,0,1729,16,14,2,1942,29,24,4
27/05/2020,8492,107,96,7,779,1,1,0,2138,10,9,1,1560,50,48,0,1963,16,14,2,2052,30,24,4
28/05/2020,8907,107,96,7,883,1,1,0,2313,10,9,1,1563,50,48,0,1963,16,14,2,2185,30,24,4
29/05/2020,9439,107,96,7,918,1,1,0,2409,10,9,1,1563,50,48,0,2131,16,14,2,2418,30,24,4
30/05/2020,9733,108,97,7,918,1,1,0,2409,10,9,1,1838,51,48,0,2141,16,14,2,2427,30,25,4
31/05/2020,10714,109,97,7,1083,1,1,0,2802,11,9,1,1843,51,48,0,2224,16,14,2,2762,30,25,4
01/06/2020,11306,113,97,7,1184,1,1,0,3102,15,9,1,1871,51,48,0,2364,16,14,2,2785,30,25,4
02/06/2020,11980,113,97,7,1184,1,1,0,3286,15,9,1,2093,51,48,0,2621,16,14,2,2796,30,25,4
03/06/2020,12481,113,97,7,1265,1,1,0,3348,15,9,1,2162,51,48,0,2751,16,14,2,2955,30,25,4
04/06/2020,12821,113,99,7,1288,1,1,0,3407,15,9,1,2163,51,50,0,3008,16,14,2,2955,30,25,4
05/06/2020,13449,113,100,7,1330,1,1,0,3744,15,9,1,2228,51,50,0,3176,16,14,2,2971,30,26,4
06/06/2020,14004,113,100,7,1369,1,1,0,4151,15,9,1,2251,51,50,0,3177,16,14,2,3056,30,26,4
07/06/2020,14563,118,101,7,1446,1,1,0,4183,20,9,1,2517,51,51,0,3178,16,14,2,3239,30,26,4
08/06/2020,15234,120,101,7,1652,1,1,0,4394,22,9,1,2521,51,51,0,3274,16,14,2,3393,30,26,4
09/06/2020,15876,120,101,7,1756,1,1,0,4662,22,9,1,2552,51,51,0,3331,16,14,2,3575,30,26,4
10/06/2020,16540,120,101,7,1928,1,1,0,4794,22,9,1,2703,51,51,0,3407,16,14,2,3708,30,26,4
11/06/2020,17124,120,101,7,1991,1,1,0,4924,22,9,1,2837,51,51,0,3488,16,14,2,3884,30,26,4
12/06/2020,17772,120,101,7,2032,1,1,0,5216,22,9,1,2950,51,51,0,3497,16,14,2,4077,30,26,4
13/06/2020,18342,120,101,7,2098,1,1,0,5374,22,9,1,3114,51,51,0,3538,16,14,2,4218,30,26,4
14/06/2020,18619,122,101,7,2100,1,1,0,5572,24,9,1,3114,51,51,0,3538,16,14,2,4295,30,26,4
15/06/2020,19000,122,101,7,2100,1,1,0,5651,24,9,1,3143,51,51,0,3539,16,14,2,4567,30,26,4
16/06/2020,19464,122,108,7,2165,1,1,0,5850,24,16,1,3144,51,51,0,3613,16,14,2,4692,30,26,4
17/06/2020,19968,122,111,7,2321,1,1,0,6162,24,19,1,3144,51,51,0,3649,16,14,2,4692,30,26,4
18/06/2020,20635,123,112,7,2321,1,1,0,6522,25,20,1,3214,51,51,0,3746,16,14,2,4832,30,26,4
19/06/2020,21240,123,113,7,2332,1,1,0,6704,25,21,1,3247,51,51,0,3869,16,14,2,5088,30,26,4
20/06/2020,22153,123,113,7,2404,1,1,0,7190,25,21,1,3255,51,51,0,4061,16,14,2,5243,30,26,4
21/06/2020,22210,124,114,7,2404,1,1,0,7190,25,22,1,3255,51,51,0,4118,17,14,2,5243,30,26,4
22/06/2020,23279,128,114,7,2471,1,1,0,7517,25,22,1,3375,51,51,0,4164,21,14,2,5752,30,26,4
23/06/2020,23689,128,115,7,2474,1,1,0,7894,25,23,1,3378,51,51,0,4190,21,14,2,5753,30,26,4
24/06/2020,24486,132,115,7,2537,1,1,0,8367,25,23,1,3531,51,51,0,4295,25,14,2,5756,30,26,4
25/06/2020,25764,137,115,7,2803,1,1,0,8812,25,23,1,3653,51,51,0,4335,30,14,2,6161,30,26,4
26/06/2020,25764,137,115,7,2803,1,1,0,8812,25,23,1,3653,51,51,0,4335,30,14,2,6161,30,26,4
27/06/2020,28352,143,116,7,3083,1,1,0,10034,25,24,1,4138,52,51,0,4531,35,14,2,6566,30,26,4
28/06/2020,29656,144,116,7,3317,1,1,0,10683,25,24,1,4308,52,51,0,4566,36,14,2,6782,30,26,4
29/06/2020,30063,145,116,7,3317,1,1,0,10866,25,24,1,4308,52,51,0,4575,37,14,2,6997,30,26,4
30/06/2020,30690,145,116,7,3507,1,1,0,11227,25,24,1,4308,52,51,0,4602,37,14,2,7046,30,26,4
01/07/2020,31599,145,117,7,3510,1,1,0,11696,25,24,1,4308,52,51,0,4738,37,15,2,7347,30,26,4
